Date,Close
26-Jul-2018,109.62
27-Jul-2018,107.68
30-Jul-2018,105.37
31-Jul-2018,106.08
1-Aug-2018,106.28
2-Aug-2018,107.57
3-Aug-2018,108.04
6-Aug-2018,108.13
7-Aug-2018,108.88
8-Aug-2018,109.49
9-Aug-2018,109.67
10-Aug-2018,109
13-Aug-2018,108.21
14-Aug-2018,109.56
15-Aug-2018,107.66
16-Aug-2018,107.64
17-Aug-2018,107.58
20-Aug-2018,106.87
21-Aug-2018,105.98
22-Aug-2018,107.06
23-Aug-2018,107.56
24-Aug-2018,108.4
27-Aug-2018,109.6
28-Aug-2018,110.26
29-Aug-2018,112.02
30-Aug-2018,111.95
31-Aug-2018,112.33
4-Sep-2018,111.71
5-Sep-2018,108.49
6-Sep-2018,108.74
7-Sep-2018,108.21
10-Sep-2018,109.38
11-Sep-2018,111.24
12-Sep-2018,111.71
13-Sep-2018,112.91
14-Sep-2018,113.37
17-Sep-2018,112.14
18-Sep-2018,113.21
19-Sep-2018,111.7
20-Sep-2018,113.57
21-Sep-2018,114.26
24-Sep-2018,114.67
25-Sep-2018,114.45
26-Sep-2018,113.98
27-Sep-2018,114.41
28-Sep-2018,114.37
1-Oct-2018,115.61
2-Oct-2018,115.15
3-Oct-2018,115.17
4-Oct-2018,112.79
5-Oct-2018,112.13
8-Oct-2018,110.85
9-Oct-2018,112.26
10-Oct-2018,106.16
11-Oct-2018,105.91
12-Oct-2018,109.57
15-Oct-2018,107.6
16-Oct-2018,111
17-Oct-2018,110.71
18-Oct-2018,108.5
19-Oct-2018,108.66
22-Oct-2018,109.63
23-Oct-2018,108.1
24-Oct-2018,102.32
25-Oct-2018,108.3
26-Oct-2018,106.96
29-Oct-2018,103.85
30-Oct-2018,103.73
31-Oct-2018,106.81
1-Nov-2018,105.92
2-Nov-2018,106.16
5-Nov-2018,107.51
6-Nov-2018,107.72
7-Nov-2018,111.96
8-Nov-2018,111.75
9-Nov-2018,109.57
12-Nov-2018,106.87
13-Nov-2018,106.94
