Date,Close
03-01-23,85.82
04-01-23,85.14
05-01-23,83.12
06-01-23,86.08
09-01-23,87.36
10-01-23,89.87
11-01-23,95.09
12-01-23,95.27
13-01-23,98.12
17-01-23,96.05
18-01-23,95.46
19-01-23,93.68
20-01-23,97.25
23-01-23,97.52
24-01-23,96.32
25-01-23,97.18
26-01-23,99.22
27-01-23,102.24
30-01-23,100.55
31-01-23,103.13
01-02-23,105.15
02-02-23,112.91
03-02-23,103.39
06-02-23,102.18
07-02-23,102.11
08-02-23,100.05
09-02-23,98.24
10-02-23,97.61
13-02-23,99.54
14-02-23,99.7
15-02-23,101.16
16-02-23,98.15
17-02-23,97.2
21-02-23,94.58
22-02-23,95.79
23-02-23,95.82
24-02-23,93.5
27-02-23,93.76
28-02-23,94.23
01-03-23,92.17
02-03-23,92.13
03-03-23,94.9
06-03-23,93.75
07-03-23,93.55
08-03-23,93.92
09-03-23,92.25
10-03-23,90.73
13-03-23,92.43
14-03-23,94.88
15-03-23,96.2
16-03-23,100.04
17-03-23,98.95
20-03-23,97.71
21-03-23,100.61
22-03-23,98.7
23-03-23,98.71
24-03-23,98.13
27-03-23,98.04
28-03-23,97.24
29-03-23,100.25
30-03-23,102
31-03-23,103.29
03-04-23,102.41
04-04-23,103.95
05-04-23,101.1
06-04-23,102.06
10-04-23,102.17
11-04-23,99.92
12-04-23,97.83
13-04-23,102.4
14-04-23,102.51
17-04-23,102.74
18-04-23,102.3
19-04-23,104.3
20-04-23,103.81
21-04-23,106.96
24-04-23,106.21
25-04-23,102.57
26-04-23,104.98
27-04-23,109.82
28-04-23,105.45
01-05-23,102.05
02-05-23,103.63
03-05-23,103.65
04-05-23,104
05-05-23,105.66
08-05-23,105.83
09-05-23,106.62
10-05-23,110.19
11-05-23,112.18
12-05-23,110.26
15-05-23,111.2
16-05-23,113.4
17-05-23,115.5
18-05-23,118.15
19-05-23,116.25
22-05-23,115.01
23-05-23,114.99
24-05-23,116.75
25-05-23,115
26-05-23,120.11
30-05-23,121.66
31-05-23,120.58
01-06-23,122.77
02-06-23,124.25
05-06-23,125.3
06-06-23,126.61
07-06-23,121.23
08-06-23,124.25
09-06-23,123.43
12-06-23,126.57
13-06-23,126.66
14-06-23,126.42
15-06-23,127.11
16-06-23,125.49
20-06-23,125.78
21-06-23,124.83
22-06-23,130.15
23-06-23,129.33
26-06-23,127.33
27-06-23,129.18
28-06-23,129.04
29-06-23,127.9
30-06-23,130.36
03-07-23,130.22
05-07-23,130.38
06-07-23,128.36
07-07-23,129.78
10-07-23,127.13
11-07-23,128.78
12-07-23,130.8
13-07-23,134.3
14-07-23,134.68
17-07-23,133.56
18-07-23,132.83
19-07-23,135.36
20-07-23,129.96
21-07-23,130
24-07-23,128.8
25-07-23,129.13
26-07-23,128.15
27-07-23,128.25
28-07-23,132.21
31-07-23,133.68
01-08-23,131.69
02-08-23,128.21
03-08-23,128.91
04-08-23,139.57
07-08-23,142.22
08-08-23,139.94
09-08-23,137.85
10-08-23,138.56
11-08-23,138.41
14-08-23,140.57
15-08-23,137.67
16-08-23,135.07
17-08-23,133.98
18-08-23,133.22
21-08-23,134.68
22-08-23,134.25
23-08-23,135.52
24-08-23,131.84
25-08-23,133.26
28-08-23,133.14
29-08-23,134.91
30-08-23,135.07
31-08-23,138.01
01-09-23,138.12
05-09-23,137.27
06-09-23,135.36
07-09-23,137.85
08-09-23,138.23
11-09-23,143.1
12-09-23,141.23
13-09-23,144.85
14-09-23,144.72
15-09-23,140.39
18-09-23,139.98
19-09-23,137.63
20-09-23,135.29
21-09-23,129.33
22-09-23,129.12
25-09-23,131.27
26-09-23,125.98
27-09-23,125.98
28-09-23,125.98
29-09-23,127.12
02-10-23,129.46
03-10-23,124.72
04-10-23,127
05-10-23,125.96
06-10-23,127.96
09-10-23,128.26
10-10-23,129.48
11-10-23,131.83
12-10-23,132.33
13-10-23,129.79
16-10-23,132.55
17-10-23,131.47
18-10-23,128.13
19-10-23,128.4
20-10-23,125.17
23-10-23,126.56
24-10-23,128.56
25-10-23,121.39
26-10-23,119.57
27-10-23,127.74
30-10-23,132.71
31-10-23,133.09
01-11-23,137
02-11-23,138.07
03-11-23,138.6
06-11-23,139.74
07-11-23,142.71
08-11-23,142.08
09-11-23,140.6
10-11-23,143.56
13-11-23,142.59
14-11-23,145.8
15-11-23,143.2
16-11-23,142.83
17-11-23,145.18
20-11-23,146.13
21-11-23,143.9
22-11-23,146.71
24-11-23,146.74
27-11-23,147.73
28-11-23,147.03
29-11-23,146.32
30-11-23,146.09
01-12-23,147.03
04-12-23,144.84
05-12-23,146.88
06-12-23,144.52
07-12-23,146.88
08-12-23,147.42
11-12-23,145.89
12-12-23,147.48
13-12-23,148.84
14-12-23,147.42
15-12-23,149.97
18-12-23,154.07
19-12-23,153.79
20-12-23,152.12
21-12-23,153.84
22-12-23,153.42
26-12-23,153.41
27-12-23,153.34
28-12-23,153.38
29-12-23,151.94
