Date,Close
15-Jun-2018,85.8
18-Jun-2018,86.19
19-Jun-2018,86.74
20-Jun-2018,87.5
21-Jun-2018,86.51
22-Jun-2018,85.78
25-Jun-2018,83.16
26-Jun-2018,84.55
27-Jun-2018,83.03
28-Jun-2018,85.07
29-Jun-2018,84.99
2-Jul-2018,85.69
3-Jul-2018,84.7
5-Jul-2018,84.99
6-Jul-2018,85.53
9-Jul-2018,86.95
10-Jul-2018,87.15
11-Jul-2018,87.75
12-Jul-2018,89.83
13-Jul-2018,90.65
16-Jul-2018,91.12
17-Jul-2018,92.2
18-Jul-2018,92.15
19-Jul-2018,90.65
20-Jul-2018,90.69
23-Jul-2018,90.1
24-Jul-2018,91.46
25-Jul-2018,93.18
26-Jul-2018,90.4
27-Jul-2018,90.86
30-Jul-2018,88.96
31-Jul-2018,88.87
1-Aug-2018,89.86
2-Aug-2018,91.72
3-Aug-2018,91.16
6-Aug-2018,92.39
7-Aug-2018,93.12
8-Aug-2018,94.33
9-Aug-2018,94.93
10-Aug-2018,94.32
13-Aug-2018,94.81
14-Aug-2018,95.98
15-Aug-2018,94.13
16-Aug-2018,94.33
17-Aug-2018,94.11
20-Aug-2018,93.84
21-Aug-2018,94.17
22-Aug-2018,95.25
23-Aug-2018,95.15
24-Aug-2018,95.27
27-Aug-2018,96.38
28-Aug-2018,96.64
29-Aug-2018,99.91
30-Aug-2018,100.12
31-Aug-2018,100.64
4-Sep-2018,101.98
5-Sep-2018,99.74
6-Sep-2018,97.92
7-Sep-2018,97.6
10-Sep-2018,96.95
11-Sep-2018,99.36
12-Sep-2018,99.5
13-Sep-2018,99.49
14-Sep-2018,98.51
17-Sep-2018,95.4
18-Sep-2018,97.05
19-Sep-2018,96.32
20-Sep-2018,97.22
21-Sep-2018,95.75
24-Sep-2018,96.72
25-Sep-2018,98.73
26-Sep-2018,98.74
27-Sep-2018,100.65
28-Sep-2018,100.15
1-Oct-2018,100.22
2-Oct-2018,98.57
3-Oct-2018,97.64
4-Oct-2018,95.47
5-Oct-2018,94.48
8-Oct-2018,93.22
9-Oct-2018,93.52
10-Oct-2018,87.76
11-Oct-2018,85.97
12-Oct-2018,89.43
15-Oct-2018,88.05
16-Oct-2018,91
17-Oct-2018,91.59
18-Oct-2018,88.54
19-Oct-2018,88.2
22-Oct-2018,89.47
23-Oct-2018,88.44
24-Oct-2018,83.21
25-Oct-2018,89.11
26-Oct-2018,82.14
29-Oct-2018,76.94
30-Oct-2018,76.52
31-Oct-2018,79.9
1-Nov-2018,83.28
2-Nov-2018,83.28
5-Nov-2018,81.39
6-Nov-2018,82.14
7-Nov-2018,87.77
8-Nov-2018,87.75
9-Nov-2018,85.62
12-Nov-2018,81.84
13-Nov-2018,81.56
14-Nov-2018,79.95
15-Nov-2018,80.97
16-Nov-2018,79.67
19-Nov-2018,75.61
20-Nov-2018,74.77
21-Nov-2018,75.84
23-Nov-2018,75.1
26-Nov-2018,79.07
27-Nov-2018,79.07
28-Nov-2018,83.89
29-Nov-2018,83.68
30-Nov-2018,84.51
3-Dec-2018,88.62
4-Dec-2018,83.42
6-Dec-2018,84.96
7-Dec-2018,81.46
10-Dec-2018,82.05
11-Dec-2018,82.16
12-Dec-2018,83.18
13-Dec-2018,82.92
14-Dec-2018,79.6
17-Dec-2018,76.05
18-Dec-2018,77.57
19-Dec-2018,74.75
20-Dec-2018,73.04
21-Dec-2018,68.87
24-Dec-2018,67.2
26-Dec-2018,73.55
27-Dec-2018,73.08
28-Dec-2018,73.9
31-Dec-2018,75.1
